img,rating,reviews,manufacturer,title,model,price,shipping_price,original_price,memory,price_per_gb,series,generation
https://c1.neweggimages.com/productimage/nb300/14-932-771-02.jpg,4.8,241,GIGABYTE,GIGABYTE WindForce GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N507TWF3-16GD,GV-N507TWF3-16GD,1238.39,0.0,1238.39,16.0,77.399375,RTX 5070,RTX 5000
https://c1.neweggimages.com/productimage/nb300/14-137-028-09.jpg,3.6,5,MSI,USED - VERY GOOD MSI Radeon RX 460 2GB GDDR5 PCI Express 3.0 x16 CrossFireX Support Graphics Card RX 460 2G OC,RX 460 2G OC,99.99,0.0,99.99,2.0,49.995,RX 460,RX 400
https://c1.neweggimages.com/productimage/nb300/14-126-588-V13.jpg,4.6,167,ASUS,ASUS TUF Gaming OC Edition GeForce RTX 3050 8GB GDDR6 PCI Express 4.0 Graphics Card TUF-RTX3050-O8G-GAMING,TUF-RTX3050-O8G-GAMING,380.0,0.0,380.0,8.0,47.5,RTX 3050,RTX 3000
https://c1.neweggimages.com/productimage/nb300/14-130-394-02.jpg,4.5,204,Unknown,EVGA GeForce 8600 GTS 256MB GDDR3 PCI Express x16 SLI Support Graphics Card 256-P2-N761-TR,256-P2-N761-TR,275.0,0.0,275.0,,,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-126-570-V07.jpg,5.0,2,ASUS,ASUS GeForce GT 730 2GB GDDR5 PCI Express 2.0 Graphics Card GT730-4H-SL-2GD5,GT730-4H-SL-2GD5,130.95,0.0,130.95,2.0,65.475,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-126-795-28.png,4.8,60,ASUS,ASUS PRIME GeForce RTX 5060 Ti 16GB 128-Bit GDDR7 PCI Express 5.0 x8 DLSS 4.0 Graphics Card PRIME-RTX5060TI-O16G,PRIME-RTX5060TI-O16G,956.12,0.0,956.12,16.0,59.7575,RTX 5060,RTX 5000
https://c1.neweggimages.com/productimage/nb300/14-125-902-S99.jpg,4.3,485,GIGABYTE,GIGABYTE GeForce GTX 1060 3GB GDDR5 PCI Express 3.0 x16 ATX Graphics Card GV-N1060G1 GAMING-3GD 2.0,GV-N1060G1GAMING-3GD,329.0,0.0,329.0,3.0,109.66666666666667,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-932-791-01.jpg,4.5,114,GIGABYTE,GIGABYTE WindForce GeForce RTX 5060 Ti 16GB GDDR7 PCI Express 5.0 x8 ATX Graphics Card GV-N506TWF2-16GD,GV-N506TWF2-16GD,968.06,0.0,968.06,16.0,60.50375,RTX 5060,RTX 5000
https://c1.neweggimages.com/productimage/nb300/14-126-525-V01.jpg,4.7,106,ASUS,"ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0, 10GB GDDR6X, LHR, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-grade Certification, GPU Tweak II)",TUF-RTX3080-O10G-V2-,744.99,0.0,744.99,10.0,74.499,RTX 3080,RTX 3000
https://c1.neweggimages.com/productimage/nb300/14-133-863-13.jpg,5.0,1,Unknown,PNY GeForce RTX 4070 SUPER 12GB VERTO Overclocked Dual Fan DLSS 3 VCG4070S12DFXPB1-O,VCG4070S12DFXPB1-O,943.0,0.0,959.0,12.0,78.58333333333333,RTX 4070,RTX 4000
